        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , GPU Load [%] , Memory Used (Dedicated) [MB] , GPU Power [W] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2024-03-26 14:11:45 ,          99.8   ,           2593.7   ,               44.0   ,          3   ,                        594   ,         0.1   ,             -   ,               41.0   ,                  7227   ,
2024-03-26 14:11:46 ,          99.8   ,           2593.7   ,               42.0   ,          2   ,                        602   ,         0.0   ,             -   ,               41.0   ,                  7238   ,
2024-03-26 14:11:47 ,          99.8   ,           2593.7   ,               44.0   ,          3   ,                        602   ,         0.0   ,             -   ,               41.0   ,                  7273   ,
2024-03-26 14:11:48 ,          99.8   ,           2593.7   ,               44.0   ,          2   ,                        636   ,         0.0   ,             -   ,               47.0   ,                  7368   ,
2024-03-26 14:11:49 ,          99.8   ,           2593.7   ,               44.0   ,          6   ,                        644   ,         0.1   ,             -   ,               43.0   ,                  7399   ,
2024-03-26 14:11:50 ,          99.8   ,           2593.7   ,               42.0   ,          4   ,                        594   ,         0.1   ,             -   ,               43.0   ,                  7345   ,
2024-03-26 14:11:51 ,          99.8   ,           2593.7   ,               44.0   ,          3   ,                        611   ,         0.0   ,             -   ,               43.0   ,                  7361   ,
2024-03-26 14:11:52 ,          99.8   ,           2593.7   ,               44.0   ,          1   ,                        615   ,         0.0   ,             -   ,               45.0   ,                  7155   ,
2024-03-26 14:11:53 ,          99.8   ,           2593.7   ,               44.0   ,          6   ,                        615   ,         0.0   ,             -   ,               43.0   ,                  6972   ,
2024-03-26 14:11:54 ,         598.5   ,           2593.7   ,               44.0   ,         10   ,                        615   ,         0.1   ,         0.825   ,               44.0   ,                  6973   ,
2024-03-26 14:11:55 ,          99.8   ,           2593.7   ,               44.0   ,          8   ,                        615   ,         0.0   ,             -   ,               41.0   ,                  6973   ,
2024-03-26 14:11:56 ,          99.8   ,           2593.7   ,               44.0   ,          3   ,                        612   ,         0.0   ,             -   ,               49.0   ,                  6953   ,
2024-03-26 14:11:57 ,          99.8   ,           2593.7   ,               42.0   ,          6   ,                        614   ,         0.0   ,             -   ,               44.0   ,                  6947   ,
2024-03-26 14:11:58 ,          99.8   ,           2593.7   ,               44.0   ,          6   ,                        615   ,         0.0   ,             -   ,               43.0   ,                  6948   ,
2024-03-26 14:11:59 ,          99.8   ,           2593.7   ,               44.0   ,         10   ,                        615   ,         0.1   ,             -   ,               41.0   ,                  6947   ,
2024-03-26 14:12:00 ,          99.8   ,           2593.7   ,               44.0   ,          2   ,                        615   ,         0.0   ,             -   ,               40.0   ,                  6945   ,
2024-03-26 14:12:01 ,          99.8   ,           2593.7   ,               44.0   ,          1   ,                        615   ,         0.0   ,             -   ,               41.0   ,                  6962   ,
2024-03-26 14:12:02 ,          99.8   ,           2593.7   ,               44.0   ,          1   ,                        613   ,         0.0   ,             -   ,               41.0   ,                  6951   ,
2024-03-26 14:12:03 ,          99.8   ,           2593.7   ,               44.0   ,          1   ,                        616   ,         0.0   ,             -   ,               41.0   ,                  6948   ,
2024-03-26 14:12:04 ,          99.8   ,           2593.7   ,               44.0   ,          0   ,                        600   ,         0.0   ,             -   ,               40.0   ,                  6957   ,
2024-03-26 14:12:05 ,          99.8   ,           2593.7   ,               44.0   ,          2   ,                        623   ,         0.0   ,             -   ,               49.0   ,                  7008   ,
2024-03-26 14:12:06 ,          99.8   ,           2593.7   ,               43.0   ,          8   ,                        622   ,         0.0   ,             -   ,               42.0   ,                  7031   ,
2024-03-26 14:12:07 ,          99.8   ,           2593.7   ,               44.0   ,          3   ,                        622   ,         0.0   ,             -   ,               43.0   ,                  7055   ,
2024-03-26 14:12:08 ,          99.8   ,           2593.7   ,               44.0   ,          1   ,                        623   ,         0.0   ,             -   ,               43.0   ,                  7062   ,
2024-03-26 14:12:09 ,          99.8   ,           2593.7   ,               44.0   ,          1   ,                        623   ,         0.0   ,             -   ,               46.0   ,                  7069   ,
2024-03-26 14:12:10 ,          99.8   ,           2593.7   ,               44.0   ,          1   ,                        626   ,         0.0   ,             -   ,               43.0   ,                  7068   ,
2024-03-26 14:12:11 ,          99.8   ,           2593.7   ,               44.0   ,          4   ,                        620   ,         0.0   ,             -   ,               42.0   ,                  7070   ,
2024-03-26 14:12:12 ,          99.8   ,           2593.7   ,               45.0   ,         12   ,                        668   ,         0.1   ,             -   ,               42.0   ,                  7111   ,
2024-03-26 14:12:13 ,         598.5   ,           2593.7   ,               44.0   ,          9   ,                        657   ,         0.1   ,         0.825   ,               43.0   ,                  7111   ,
2024-03-26 14:12:14 ,          99.8   ,           2593.7   ,               44.0   ,          3   ,                        657   ,         0.0   ,             -   ,               41.0   ,                  7111   ,
2024-03-26 14:12:15 ,          99.8   ,           2593.7   ,               44.0   ,          1   ,                        652   ,         0.0   ,             -   ,               41.0   ,                  7114   ,
2024-03-26 14:12:16 ,          99.8   ,           2593.7   ,               44.0   ,          2   ,                        664   ,         0.0   ,             -   ,               49.0   ,                  7111   ,
2024-03-26 14:12:17 ,          99.8   ,           2593.7   ,               44.0   ,          4   ,                        653   ,         0.0   ,             -   ,               43.0   ,                  7094   ,
2024-03-26 14:12:18 ,          99.8   ,           2593.7   ,               43.0   ,          3   ,                        653   ,         0.0   ,             -   ,               42.0   ,                  7076   ,
2024-03-26 14:12:19 ,          99.8   ,           2593.7   ,               44.0   ,          0   ,                        649   ,         0.0   ,             -   ,               41.0   ,                  7076   ,
2024-03-26 14:12:20 ,          99.8   ,           2593.7   ,               44.0   ,          7   ,                        649   ,         0.1   ,             -   ,               43.0   ,                  7079   ,
2024-03-26 14:12:21 ,          99.8   ,           2593.7   ,               44.0   ,          6   ,                        646   ,         0.0   ,             -   ,               42.0   ,                  7064   ,
2024-03-26 14:12:22 ,          99.8   ,           2593.7   ,               44.0   ,          1   ,                        646   ,         0.0   ,             -   ,               41.0   ,                  7073   ,
2024-03-26 14:12:23 ,          99.8   ,           2593.7   ,               44.0   ,          0   ,                        642   ,         0.0   ,             -   ,               41.0   ,                  7062   ,
2024-03-26 14:12:24 ,          99.8   ,           2593.7   ,               44.0   ,          0   ,                        642   ,         0.0   ,             -   ,               41.0   ,                  7061   ,
2024-03-26 14:12:25 ,          99.8   ,           2593.7   ,               44.0   ,          9   ,                        641   ,         0.1   ,             -   ,               43.0   ,                  7057   ,
2024-03-26 14:12:26 ,          99.8   ,           2593.7   ,               44.0   ,          0   ,                        641   ,         0.0   ,             -   ,               41.0   ,                  7056   ,
2024-03-26 14:12:27 ,          99.8   ,           2593.7   ,               44.0   ,          0   ,                        640   ,         0.0   ,             -   ,               41.0   ,                  7051   ,
2024-03-26 14:12:28 ,          99.8   ,           2593.7   ,               44.0   ,          0   ,                        640   ,         0.0   ,             -   ,               40.0   ,                  7048   ,
2024-03-26 14:12:29 ,          99.8   ,           2593.7   ,               44.0   ,          1   ,                        641   ,         0.0   ,             -   ,               42.0   ,                  7044   ,
2024-03-26 14:12:30 ,          99.8   ,           2593.7   ,               44.0   ,          7   ,                        641   ,         0.0   ,             -   ,               42.0   ,                  7029   ,
2024-03-26 14:12:31 ,          99.8   ,           2593.7   ,               44.0   ,          1   ,                        641   ,         0.0   ,             -   ,               41.0   ,                  7035   ,
2024-03-26 14:12:32 ,          99.8   ,           2593.7   ,               44.0   ,          9   ,                        642   ,         0.1   ,             -   ,               44.0   ,                  7049   ,
2024-03-26 14:12:33 ,          99.8   ,           2593.7   ,               44.0   ,          9   ,                        642   ,         0.1   ,             -   ,               42.0   ,                  7051   ,
2024-03-26 14:12:34 ,          99.8   ,           2593.7   ,               42.0   ,          5   ,                        642   ,         0.0   ,             -   ,               42.0   ,                  7049   ,
2024-03-26 14:12:35 ,          99.8   ,           2593.7   ,               44.0   ,          1   ,                        641   ,         0.0   ,             -   ,               42.0   ,                  7050   ,
2024-03-26 14:12:36 ,          99.8   ,           2593.7   ,               44.0   ,         10   ,                        641   ,         0.1   ,             -   ,               42.0   ,                  7038   ,
2024-03-26 14:12:37 ,          99.8   ,           2593.7   ,               44.0   ,          1   ,                        641   ,         0.0   ,             -   ,               41.0   ,                  7037   ,
2024-03-26 14:12:38 ,          99.8   ,           2593.7   ,               44.0   ,          3   ,                        642   ,         0.0   ,             -   ,               41.0   ,                  7046   ,
2024-03-26 14:12:39 ,          99.8   ,           2593.7   ,               44.0   ,          4   ,                        652   ,         0.0   ,             -   ,               48.0   ,                  7090   ,
2024-03-26 14:12:40 ,          99.8   ,           2593.7   ,               44.0   ,          4   ,                        654   ,         0.0   ,             -   ,               44.0   ,                  7098   ,
2024-03-26 14:12:41 ,          99.8   ,           2593.7   ,               44.0   ,          5   ,                        672   ,         0.1   ,             -   ,               45.0   ,                  7155   ,
2024-03-26 14:12:42 ,          99.8   ,           2593.7   ,               44.0   ,          4   ,                        683   ,         0.1   ,             -   ,               42.0   ,                  7017   ,
2024-03-26 14:12:43 ,          99.8   ,           2593.7   ,               44.0   ,          2   ,                        680   ,         0.0   ,             -   ,               53.0   ,                  7092   ,
2024-03-26 14:12:44 ,          99.8   ,           2593.7   ,               44.0   ,          1   ,                        672   ,         0.0   ,             -   ,               54.0   ,                  7181   ,
2024-03-26 14:12:45 ,          99.8   ,           2593.7   ,               45.0   ,          6   ,                        679   ,         0.1   ,             -   ,               53.0   ,                  7232   ,
2024-03-26 14:12:46 ,          99.8   ,           2593.7   ,               45.0   ,          4   ,                        681   ,         0.1   ,             -   ,               45.0   ,                  7169   ,
2024-03-26 14:12:47 ,          99.8   ,           2593.7   ,               45.0   ,          5   ,                        669   ,         0.1   ,             -   ,               45.0   ,                  7153   ,
2024-03-26 14:12:48 ,          99.8   ,           2593.7   ,               46.0   ,          1   ,                        669   ,         0.0   ,             -   ,               43.0   ,                  7154   ,
2024-03-26 14:12:49 ,          99.8   ,           2593.7   ,               45.0   ,          1   ,                        670   ,         0.0   ,             -   ,               44.0   ,                  7149   ,
2024-03-26 14:12:50 ,          99.8   ,           2593.7   ,               45.0   ,          5   ,                        664   ,         0.0   ,             -   ,               48.0   ,                  7159   ,
2024-03-26 14:12:51 ,          99.8   ,           2593.7   ,               45.0   ,          4   ,                        664   ,         0.1   ,             -   ,               44.0   ,                  7156   ,
2024-03-26 14:12:52 ,         598.5   ,           2593.7   ,               45.0   ,          3   ,                        664   ,         0.0   ,             -   ,               44.0   ,                  7159   ,
2024-03-26 14:12:53 ,          99.8   ,           2593.7   ,               45.0   ,          6   ,                        664   ,         0.1   ,             -   ,               44.0   ,                  7161   ,
2024-03-26 14:12:54 ,          99.8   ,           2593.7   ,               45.0   ,          9   ,                        665   ,         0.1   ,             -   ,               43.0   ,                  7157   ,
2024-03-26 14:12:55 ,          99.8   ,           2593.7   ,               45.0   ,          4   ,                        665   ,         0.0   ,             -   ,               45.0   ,                  7169   ,
2024-03-26 14:12:56 ,          99.8   ,           2593.7   ,               45.0   ,          3   ,                        666   ,         0.0   ,             -   ,               43.0   ,                  7156   ,
2024-03-26 14:12:57 ,          99.8   ,           2593.7   ,               45.0   ,          1   ,                        664   ,         0.0   ,             -   ,               43.0   ,                  7155   ,
2024-03-26 14:12:58 ,          99.8   ,           2593.7   ,               44.0   ,          1   ,                        664   ,         0.0   ,             -   ,               43.0   ,                  7152   ,
2024-03-26 14:12:59 ,         598.5   ,           2593.7   ,               45.0   ,         12   ,                        665   ,         0.1   ,         0.825   ,               46.0   ,                  7154   ,
2024-03-26 14:13:00 ,          99.8   ,           2593.7   ,               44.0   ,          4   ,                        654   ,         0.0   ,             -   ,               45.0   ,                  7143   ,
2024-03-26 14:13:01 ,          99.8   ,           2593.7   ,               45.0   ,          6   ,                        653   ,         0.1   ,             -   ,               50.0   ,                  7146   ,
2024-03-26 14:13:02 ,          99.8   ,           2593.7   ,               44.0   ,          5   ,                        653   ,         0.0   ,             -   ,               45.0   ,                  7126   ,
2024-03-26 14:13:03 ,          99.8   ,           2593.7   ,               45.0   ,          4   ,                        653   ,         0.0   ,             -   ,               42.0   ,                  7127   ,
2024-03-26 14:13:04 ,          99.8   ,           2593.7   ,               44.0   ,          1   ,                        653   ,         0.0   ,             -   ,               42.0   ,                  7121   ,
2024-03-26 14:13:05 ,          99.8   ,           2593.7   ,               44.0   ,          1   ,                        651   ,         0.0   ,             -   ,               43.0   ,                  7121   ,
2024-03-26 14:13:06 ,          99.8   ,           2593.7   ,               45.0   ,          1   ,                        652   ,         0.0   ,             -   ,               43.0   ,                  7109   ,
2024-03-26 14:13:07 ,          99.8   ,           2593.7   ,               45.0   ,          1   ,                        652   ,         0.0   ,             -   ,               42.0   ,                  7109   ,
2024-03-26 14:13:08 ,          99.8   ,           2593.7   ,               45.0   ,          1   ,                        652   ,         0.0   ,             -   ,               42.0   ,                  7107   ,
2024-03-26 14:13:09 ,          99.8   ,           2593.7   ,               44.0   ,          1   ,                        651   ,         0.0   ,             -   ,               42.0   ,                  7105   ,
2024-03-26 14:13:10 ,          99.8   ,           2593.7   ,               45.0   ,          1   ,                        651   ,         0.0   ,             -   ,               43.0   ,                  7069   ,
2024-03-26 14:13:11 ,          99.8   ,           2593.7   ,               44.0   ,          1   ,                        653   ,         0.0   ,             -   ,               42.0   ,                  7073   ,
2024-03-26 14:13:12 ,          99.8   ,           2593.7   ,               45.0   ,          1   ,                        653   ,         0.0   ,             -   ,               42.0   ,                  7073   ,
2024-03-26 14:13:13 ,          99.8   ,           2593.7   ,               45.0   ,          1   ,                        653   ,         0.0   ,             -   ,               44.0   ,                  7068   ,
2024-03-26 14:13:14 ,          99.8   ,           2593.7   ,               44.0   ,          1   ,                        653   ,         0.0   ,             -   ,               42.0   ,                  7013   ,
2024-03-26 14:13:15 ,          99.8   ,           2593.7   ,               44.0   ,          4   ,                        654   ,         0.0   ,             -   ,               43.0   ,                  7022   ,
2024-03-26 14:13:16 ,          99.8   ,           2593.7   ,               44.0   ,          9   ,                        654   ,         0.1   ,             -   ,               45.0   ,                  7033   ,
2024-03-26 14:13:17 ,          99.8   ,           2593.7   ,               45.0   ,          8   ,                        654   ,         0.1   ,             -   ,               43.0   ,                  7038   ,
2024-03-26 14:13:18 ,          99.8   ,           2593.7   ,               45.0   ,          3   ,                        654   ,         0.0   ,             -   ,               42.0   ,                  7036   ,
2024-03-26 14:13:19 ,          99.8   ,           2593.7   ,               45.0   ,          1   ,                        654   ,         0.0   ,             -   ,               41.0   ,                  7036   ,
2024-03-26 14:13:20 ,          99.8   ,           2593.7   ,               44.0   ,          1   ,                        653   ,         0.0   ,             -   ,               42.0   ,                  7028   ,
2024-03-26 14:13:21 ,          99.8   ,           2593.7   ,               45.0   ,          1   ,                        652   ,         0.0   ,             -   ,               50.0   ,                  7046   ,
2024-03-26 14:13:22 ,          99.8   ,           2593.7   ,               45.0   ,          1   ,                        652   ,         0.0   ,             -   ,               42.0   ,                  7035   ,
2024-03-26 14:13:23 ,          99.8   ,           2593.7   ,               44.0   ,          1   ,                        652   ,         0.0   ,             -   ,               41.0   ,                  7028   ,
2024-03-26 14:13:24 ,          99.8   ,           2593.7   ,               44.0   ,          1   ,                        652   ,         0.0   ,             -   ,               44.0   ,                  7032   ,
2024-03-26 14:13:25 ,          99.8   ,           2593.7   ,               44.0   ,          1   ,                        652   ,         0.0   ,             -   ,               41.0   ,                  7036   ,
2024-03-26 14:13:26 ,          99.8   ,           2593.7   ,               44.0   ,          0   ,                        652   ,         0.0   ,         0.825   ,               41.0   ,                  7040   ,
2024-03-26 14:13:27 ,          99.8   ,           2593.7   ,               44.0   ,          1   ,                        652   ,         0.0   ,             -   ,               41.0   ,                  7046   ,
2024-03-26 14:13:28 ,          99.8   ,           2593.7   ,               44.0   ,          0   ,                        652   ,         0.0   ,             -   ,               41.0   ,                  7044   ,
2024-03-26 14:13:29 ,          99.8   ,           2593.7   ,               44.0   ,          0   ,                        652   ,         0.0   ,             -   ,               40.0   ,                  7046   ,
2024-03-26 14:13:30 ,          99.8   ,           2593.7   ,               45.0   ,          5   ,                        650   ,         0.0   ,         0.825   ,               43.0   ,                  7025   ,
