GPU Clock [MHz],GPU Power [W],Memory Clock [MHz],GPU Temperature [C],Date,GPU Load [%],Count
99.8,0.4,2593.7,50.0,2024-04-10 17:33:08,16.0,0
99.8,0.2,2593.7,51.0,2024-04-10 17:33:09,13.0,1
99.8,0.1,2593.7,50.0,2024-04-10 17:32:17,7.0,10
99.8,0.3,2593.7,50.0,2024-04-10 17:32:18,16.0,11
99.8,0.2,2593.7,53.0,2024-04-10 17:32:19,12.0,12
99.8,0.2,2593.7,51.0,2024-04-10 17:32:20,12.0,13
99.8,0.2,2593.7,50.0,2024-04-10 17:32:21,10.0,14
99.8,0.2,2593.7,51.0,2024-04-10 17:32:22,13.0,15
99.8,0.1,2593.7,51.0,2024-04-10 17:32:23,7.0,16
99.8,0.0,2593.7,51.0,2024-04-10 17:32:24,0.0,17
99.8,0.0,2593.7,51.0,2024-04-10 17:32:25,0.0,18
99.8,0.1,2593.7,51.0,2024-04-10 17:32:26,5.0,19
99.8,0.2,2593.7,51.0,2024-04-10 17:33:10,8.0,2
99.8,0.0,2593.7,51.0,2024-04-10 17:32:27,3.0,20
99.8,0.1,2593.7,50.0,2024-04-10 17:32:28,7.0,21
99.8,0.1,2593.7,50.0,2024-04-10 17:32:29,8.0,22
99.8,0.0,2593.7,49.0,2024-04-10 17:32:30,4.0,23
99.8,0.1,2593.7,49.0,2024-04-10 17:32:31,7.0,24
99.8,0.1,2593.7,50.0,2024-04-10 17:32:32,7.0,25
99.8,0.1,2593.7,49.0,2024-04-10 17:32:33,6.0,26
99.8,0.0,2593.7,49.0,2024-04-10 17:32:34,1.0,27
99.8,0.2,2593.7,49.0,2024-04-10 17:32:35,11.0,28
99.8,0.1,2593.7,50.0,2024-04-10 17:32:36,5.0,29
99.8,0.0,2593.7,51.0,2024-04-10 17:32:10,1.0,3
99.8,0.1,2593.7,49.0,2024-04-10 17:32:37,5.0,30
99.8,0.0,2593.7,49.0,2024-04-10 17:32:38,3.0,31
99.8,0.0,2593.7,49.0,2024-04-10 17:32:39,5.0,32
99.8,0.0,2593.7,49.0,2024-04-10 17:32:40,1.0,33
99.8,0.1,2593.7,49.0,2024-04-10 17:32:41,5.0,34
99.8,0.4,2593.7,50.0,2024-04-10 17:32:42,16.0,35
448.9,0.7,2593.7,50.0,2024-04-10 17:32:43,31.0,36
448.9,0.7,2593.7,50.0,2024-04-10 17:32:44,31.0,37
99.8,0.4,2593.7,49.0,2024-04-10 17:32:45,16.0,38
99.8,0.0,2593.7,47.0,2024-04-10 17:32:46,0.0,39
99.8,0.0,2593.7,51.0,2024-04-10 17:32:11,0.0,4
448.9,0.3,2593.7,49.0,2024-04-10 17:32:47,13.0,40
99.8,0.2,2593.7,47.0,2024-04-10 17:32:48,9.0,41
99.8,0.0,2593.7,47.0,2024-04-10 17:32:49,1.0,42
99.8,0.0,2593.7,47.0,2024-04-10 17:32:50,0.0,43
99.8,0.5,2593.7,49.0,2024-04-10 17:32:51,20.0,44
99.8,0.0,2593.7,49.0,2024-04-10 17:32:52,0.0,45
99.8,0.1,2593.7,49.0,2024-04-10 17:32:53,3.0,46
99.8,0.9,2593.7,49.0,2024-04-10 17:32:54,39.0,47
99.8,0.6,2593.7,47.0,2024-04-10 17:32:55,26.0,48
99.8,0.1,2593.7,47.0,2024-04-10 17:32:56,5.0,49
99.8,0.0,2593.7,51.0,2024-04-10 17:32:12,3.0,5
99.8,0.2,2593.7,47.0,2024-04-10 17:32:57,9.0,50
99.8,0.0,2593.7,46.0,2024-04-10 17:32:58,0.0,51
99.8,0.2,2593.7,46.0,2024-04-10 17:32:59,9.0,52
99.8,0.3,2593.7,49.0,2024-04-10 17:33:00,22.0,53
99.8,0.0,2593.7,47.0,2024-04-10 17:33:01,3.0,54
99.8,0.0,2593.7,47.0,2024-04-10 17:33:02,1.0,55
99.8,0.1,2593.7,49.0,2024-04-10 17:33:03,4.0,56
99.8,0.1,2593.7,50.0,2024-04-10 17:33:04,11.0,57
99.8,0.1,2593.7,49.0,2024-04-10 17:33:05,7.0,58
99.8,0.0,2593.7,49.0,2024-04-10 17:33:06,2.0,59
99.8,0.0,2593.7,51.0,2024-04-10 17:32:13,2.0,6
99.8,0.2,2593.7,51.0,2024-04-10 17:32:14,13.0,7
99.8,0.0,2593.7,50.0,2024-04-10 17:32:15,2.0,8
99.8,0.1,2593.7,51.0,2024-04-10 17:32:16,7.0,9
