GPU Clock [MHz],GPU Power [W],Memory Clock [MHz],GPU Temperature [C],Date,GPU Load [%],Count
99.8,0.0,2593.7,47.0,2024-04-10 17:00:15,1.0,6
99.8,0.0,2593.7,47.0,2024-04-10 17:00:16,1.0,7
99.8,0.2,2593.7,47.0,2024-04-10 17:00:17,10.0,8
99.8,0.1,2593.7,47.0,2024-04-10 17:00:18,5.0,9
99.8,0.1,2593.7,46.0,2024-04-10 17:00:19,9.0,10
99.8,0.1,2593.7,47.0,2024-04-10 17:00:20,5.0,11
99.8,0.0,2593.7,47.0,2024-04-10 17:00:21,1.0,12
99.8,0.0,2593.7,47.0,2024-04-10 17:00:22,5.0,13
99.8,0.5,2593.7,50.0,2024-04-10 17:00:23,23.0,14
99.8,0.1,2593.7,49.0,2024-04-10 17:00:24,11.0,15
99.8,0.2,2593.7,50.0,2024-04-10 17:00:25,11.0,16
448.9,0.1,2593.7,49.0,2024-04-10 17:00:26,5.0,17
99.8,0.0,2593.7,49.0,2024-04-10 17:00:27,1.0,18
99.8,0.1,2593.7,49.0,2024-04-10 17:00:28,4.0,19
99.8,0.0,2593.7,49.0,2024-04-10 17:00:29,3.0,20
99.8,0.1,2593.7,47.0,2024-04-10 17:00:30,4.0,21
99.8,0.0,2593.7,49.0,2024-04-10 17:00:31,0.0,22
99.8,0.0,2593.7,47.0,2024-04-10 17:00:32,3.0,23
99.8,0.0,2593.7,49.0,2024-04-10 17:00:33,2.0,24
99.8,0.1,2593.7,49.0,2024-04-10 17:00:34,9.0,25
99.8,0.1,2593.7,49.0,2024-04-10 17:00:35,7.0,26
99.8,0.0,2593.7,47.0,2024-04-10 17:00:36,1.0,27
99.8,0.0,2593.7,47.0,2024-04-10 17:00:37,0.0,28
99.8,0.0,2593.7,49.0,2024-04-10 17:00:38,2.0,29
99.8,0.1,2593.7,49.0,2024-04-10 17:00:39,7.0,30
99.8,0.0,2593.7,47.0,2024-04-10 17:00:40,1.0,31
99.8,0.0,2593.7,47.0,2024-04-10 17:00:41,0.0,32
99.8,0.0,2593.7,47.0,2024-04-10 17:00:42,0.0,33
99.8,0.0,2593.7,47.0,2024-04-10 17:00:43,0.0,34
99.8,0.0,2593.7,47.0,2024-04-10 17:00:44,1.0,35
99.8,0.0,2593.7,45.0,2024-04-10 17:00:45,0.0,36
99.8,0.0,2593.7,46.0,2024-04-10 17:00:46,1.0,37
99.8,0.0,2593.7,47.0,2024-04-10 17:00:47,4.0,38
99.8,0.0,2593.7,47.0,2024-04-10 17:00:48,4.0,39
99.8,0.0,2593.7,46.0,2024-04-10 17:00:49,5.0,40
99.8,0.0,2593.7,47.0,2024-04-10 17:00:50,3.0,41
99.8,0.0,2593.7,47.0,2024-04-10 17:00:51,0.0,42
99.8,0.0,2593.7,47.0,2024-04-10 17:00:52,0.0,43
99.8,0.0,2593.7,46.0,2024-04-10 17:00:53,3.0,44
99.8,0.0,2593.7,46.0,2024-04-10 17:00:54,0.0,45
99.8,0.0,2593.7,46.0,2024-04-10 17:00:55,4.0,46
99.8,0.0,2593.7,46.0,2024-04-10 17:00:56,2.0,47
99.8,0.0,2593.7,46.0,2024-04-10 17:00:57,0.0,48
99.8,0.0,2593.7,46.0,2024-04-10 17:00:58,0.0,49
99.8,0.0,2593.7,46.0,2024-04-10 17:00:59,3.0,50
99.8,0.0,2593.7,46.0,2024-04-10 17:01:00,3.0,51
99.8,0.0,2593.7,46.0,2024-04-10 17:01:01,0.0,52
99.8,0.1,2593.7,47.0,2024-04-10 17:01:02,8.0,53
99.8,0.1,2593.7,46.0,2024-04-10 17:01:03,4.0,54
99.8,0.1,2593.7,47.0,2024-04-10 17:01:04,5.0,55
99.8,0.1,2593.7,47.0,2024-04-10 17:01:05,4.0,56
99.8,0.1,2593.7,47.0,2024-04-10 17:01:06,6.0,57
99.8,0.1,2593.7,47.0,2024-04-10 17:01:07,4.0,58
99.8,0.0,2593.7,46.0,2024-04-10 17:01:08,2.0,59
99.8,0.1,2593.7,47.0,2024-04-10 17:01:10,9.0,0
99.8,0.1,2593.7,47.0,2024-04-10 17:01:11,5.0,1
99.8,0.1,2593.7,47.0,2024-04-10 17:01:12,7.0,2
99.8,0.1,2593.7,47.0,2024-04-10 17:01:13,6.0,3
99.8,0.3,2593.7,47.0,2024-04-10 17:01:14,18.0,4
99.8,0.0,2593.7,47.0,2024-04-10 17:01:15,3.0,5
